class,precision,recall,f1,support
normal,0.6803613680361368,0.9771393265369169,0.8021810803956378,9711
neptune,0.9245894992904926,0.979385870732231,0.9511991657977059,4657
__unseen_at_train__,0.0,0.0,0.0,3750
guess_passwd,0.0,0.0,0.0,1231
warezmaster,0.9629629629629629,0.0826271186440678,0.1521951219512195,944
satan,0.4571703561116458,0.6462585034013606,0.5355129650507328,735
smurf,0.9805680119581465,0.9864661654135338,0.9835082458770614,665
back,0.2268370607028754,0.3955431754874652,0.2883248730964467,359
portsweep,0.21654135338345865,0.9171974522292994,0.35036496350364965,157
ipsweep,0.8954248366013072,0.9716312056737588,0.9319727891156463,141
nmap,0.41954022988505746,1.0,0.5910931174089069,73
pod,0.74,0.9024390243902439,0.8131868131868132,41
buffer_overflow,0.0,0.0,0.0,20
multihop,0.03571428571428571,0.05555555555555555,0.043478260869565216,18
rootkit,0.0,0.0,0.0,13
teardrop,0.24489795918367346,1.0,0.39344262295081966,12
land,1.0,0.42857142857142855,0.6,7
ftp_write,0.0,0.0,0.0,3
phf,0.3333333333333333,0.5,0.4,2
loadmodule,0.0,0.0,0.0,2
perl,0.1111111111111111,0.5,0.18181818181818182,2
imap,0.0,0.0,0.0,1
spy,0.0,0.0,0.0,0
warezclient,0.0,0.0,0.0,0
